identifier,split
13f3691074fb1,val
010ac2b27317e,val
0b28154eb09a5,train
234a7ba040336,train
219b3db3a50e5,train
164a3040c6529,test
314a746a9e266,val
1db69e22d095e,val
36a15eeddce83,val
1685c5bc56af7,val
17ac271bafae5,train
317b721e4811e,train
19e886ddf3491,train
1a194a1510938,train
17d68c408a6bb,train
02eb51837b5c9,train
3509be318e39a,train
2e5c5c87c361d,train
2f0cd1a7ecfce,train
2d7e92172c83f,train
0609d0a011be6,test
38d4ffa390678,test
0d24f83314b65,test
2c16fd4778ac7,val
0633262ba9742,val
15fcd11bab9d3,val
12001b9caa490,val
32ba663895848,train
0ae7981f8b467,train
008cfc113b044,train
2ed61628c52c9,train
01c622889e82f,train
2bedcc62a4034,train
2beadc0a5cc05,train
1bd3ef2251bec,train
2138dacae6717,train
2dfb410f6ce94,val
2d5c0e77493ef,train
38d70aaed0119,train
2147d8fd745df,train
307b225fe1f8f,train
266259c8b0676,train
18ca25b7be817,train
20692b887d75f,train
25786fb4c5a38,train
3380f49f9a54f,train
10d126f23700b,train
0a4b3f3c36bf0,test
128e9070a92c5,test
169623f1d026b,test
01677a8c49e23,val
2573d499f94ca,val
36a7ce354dcd1,val
368b2f7c5171d,val
0cc8512208a61,train
125872779946b,train
38bdff1e444b7,train
083fc13cb73df,train
03f906a4d061c,train
134d2ecc9e18a,train
1ae8077f7e95c,train
251ede3d51408,train
2961de7fa7665,train
2261d780ade21,train
04181a4e48c76,train
142054ce792a3,test
17f05521d4280,val
2bd2c386037fd,val
18ce8b922d088,train
13500e5d8f54d,train
21d03a0719cd7,train
0ce34e5cb1fc6,train
0bc9fe2b8d309,train
1fb7b306c115f,train
17301bdfc077a,train
05e923bd0bcea,train
1aec76e7024c7,train
1d1d2b0cf5585,train
375bec575b28c,train
010235c0f2854,train
1176421789a1c,test
0936e2c34baf7,test
04aa6b93318df,test
1b40ebb483a8c,test
278717fd7ffbd,val
356a3d32f6f79,val
2986f3de5b718,val
173a096038623,train
02f28b008f365,train
26238d2c66bd5,train
1f7989898ad53,train
02de62696377d,train
0e71bfa1c5093,train
37761ca7cdc9d,train
0c899af6bcedd,train
1c532173beb17,train
2bd16df494d6c,train
192d226d2a4b4,train
31f852ec82487,test
212b81f739b91,test
29505bf490243,test
275e8c0321324,test
159c255ecff95,val
35d158949d564,val
1412e4a92b427,train
0e787392340e7,train
194b224040af3,train
14748485328bb,train
35012338185b7,train
2d8060efe2ca8,train
1e0a33f8bc8ba,train
00c6d17cf3e64,train
0971be7ae18b8,train
0142d9a9eaf0e,train
085bb78becd25,train
046b2165741e6,train
22ad647733c96,test
227cf99439fff,test
24ce267deea50,test
06a700208a500,test
24b8e7800479e,val
0599c9c6d4791,val
0fc701401b5e2,val
123c1765ce37e,train
0a32f13ca7d24,train
2cd462fc77b07,train
2d9beb8ffdd60,train
2a9828acabdf5,train
14015b1dd8d5b,train
2826119945bc7,train
214750381b7e6,train
1a8451375fcbf,train
0713cfe1f5d18,train
19a4e5afefdc7,train
0c3f3455f2300,test
2e1e4a88c6451,test
1be291b20d1e0,test
2af585581970f,test
030cd320ec3dc,val
0169e3c5d5278,val
13c57998d3bb4,val
160778eb91706,train
320a0fb553113,train
25b42baf9861e,train
11f56e16983a2,train
18cb7ce97016c,train
028df6027b60e,train
23b8758e6f424,train
14a7cec86e080,train
0bba205f82b5d,train
35d6062fe1ebd,train
38aa66cc16654,train
091824de9d3ff,train
0e0e0930763bb,train
35b466a133470,test
2f97d29377f3a,test
11f72dae84b62,test
2039fb440f5b8,test
2e01a50f36e27,val
10192a52a195f,val
29d079fb67afe,val
3455181975837,train
15fc740ac2f58,train
323997a248430,train
0f2f1c2530c92,train
27a67374c04ec,train
2e43a75352083,train
330b6a7137f98,train
0f8e00513d32d,train
22065fae7b3a4,train
051c03237f78f,train
2e52cb37f4842,train
2fa0867779495,test
2b105a41225c4,test
20b3d2317585b,test
147a6fb0f5505,test
0d17c99fa7bf7,val
254ba2f399618,val
04c0a20eaa7fd,val
0db07bb58c942,train
19e03568cb144,train
1ba8a9eff5c04,train
356a203069ccf,train
08af0459f0d62,train
0d6beaf83d12b,train
14c88db80c951,train
2e403f80d3630,train
0e4a4592c0192,train
0ade738096873,train
1b789cfa8c180,train
1456b5f68803d,train
341ed4959c589,train
2c099219c8e3d,train
02784d3f6488a,train
2da3f9fb024b5,test
0901afc8de602,test
0cfe6a4c7c066,test
0cbffcd0d5537,test
1d383096229e9,val
2b8adf446c967,val
37684dcf6d0ae,val
072ff73edceba,train
30d6aab8e798a,train
05f2d8ee29d8d,train
1271982dff324,train
383bdef3a411f,train
37a8c19d6990e,train
11521f6c4641c,train
2030280f69b46,train
18a90c89170aa,train
2f4f8e765b51e,train
13ffd4c818a40,train
1aeba6d313a01,test
1fa7496dd152e,test
2a8e0187379fa,test
2fa49a108d563,test
0d5724336e042,val
2a886dc35db96,val
2a2cd1cc51398,val
05da95033ad18,train
0e5977c7b0560,train
119ed083533bf,train
1babd4839e853,train
003cf9b3646ba,train
1e76a59700d1f,train
26804c2db59d5,train
10c4e8fe2eccc,train
2304dc20caf28,train
082c0364afdf1,train
1c29c1f5ca18a,train
2bc19f13db8ba,train
2e797a3d412c9,train
380c974776b52,train
25e1d4c06bde2,test
2513df722dac7,test
2be9096f6a239,test
1cf77456d72d4,test
35a68b0bf3265,val
08f61badcb78d,val
3281aa18dcd88,val
36ea82570b13f,train
0d7ca6da5dc93,train
0f62f7c4665a2,train
01d7c08e73f9b,train
1b4a5d7ff4193,train
2647b0d17f397,train
1a6cb8096ff41,train
1968dc4175e0d,train
18383f615d3dd,train
1369214949767,train
2ef29716399cf,train
0a71c56b41dc5,test
1aaaf0e7e4533,test
14945542d8038,test
12cd7eecd47a6,test
18f938546a758,val
38a046703c01f,val
2f97dcb8ac624,val
2b9e2686a31d8,train
08c55004fcc5d,train
0180e3919bf7e,train
1e9765a4420ee,train
19756271af228,train
14f1387cc26b5,train
145e6b7ed7f9f,train
0e774822e23bd,train
357544d4ac8d3,train
19ea1e4f88635,train
1ffbfda14d836,train
2ac2d2508c562,train
09741c347da80,train
2dec47bdca761,train
2d5fbf5cb834d,test
2caef69ea9e84,test
22e8303abc7a1,test
34fed9d7b4b58,test
003de9eb1e017,val
24bf72c165bbb,val
3424ab6bd6382,val
351c32c2219bb,train
30a012feda8d3,train
2a051d9170cf1,train
0abf4d1061f94,train
0af8ab4af53f7,train
1bdb9565d2829,train
31bac6d3452db,train
31130cafdd8b4,train
0cec0c3757071,train
1f30180e7c910,train
1f70a748f454c,test
0e37d6881ffb4,test
0b78dccb2b399,test
2b576076862e3,test
0d26ac8702744,val
0f4b2142aab09,val
26f60e0f296bb,val
1ab77c8d3102f,train
2377bc530c61b,train
387a050e7a7f1,train
0a6bc087b1d6b,train
2289bf386ff68,train
24d1ae87a06e1,train
35450bc1ed3d4,train
352ce7b650bb4,train
0f7ee24bf83f7,train
38829158c20dd,train
1d18af554ccac,train
2b00e212f1be8,train
08cb0e3601f30,train
1c185fd7d00f6,train
252f9bf2060ee,test
25ce02722a633,test
037f9cc0e7b2e,test
0fbb22466798e,test
330927031c84e,val
262261a17bc91,val
2e732dc6fcfa0,val
21f3f9b4d157a,train
37e673b06440e,train
299c8f3ae2cb1,train
32e9036a458a7,train
1c9c9ca8fcb1c,train
100adcfc468a9,train
2191d5a40f8c8,train
26585760371a8,train
0ea95eb5d6ffd,train
2457962eb8520,train
330d9158dd4f5,train
2d64422dea959,test
0116fb20894b1,test
3139c8376c20e,test
14ea35a087979,test
145fe41c3c314,val
145d5601ba7df,val
34655da26f09c,val
02e3ae88b64c3,train
15e2cc2e992c5,train
1ab00a38b3c61,train
25fd130fc8321,train
1055acc858d24,train
38b0d4ee30a18,train
0611a17453b19,train
202887a53ae80,train
33ab4d0d2e3d2,train
19621473c25fa,train
2d99c2bef871a,train
1b73562b36a87,train
133dbd2fc9ab0,train
0a2d71cd2d154,train
188b36d0fd181,train
1166686679c9e,test
0a0a42c45539f,test
03356e774850d,test
28647efab7020,test
35bf56d9090a3,val
2b5bd02bac277,val
0d2cf93e2f06e,val
21ca5f2722f1b,train
2d8983cb91d12,train
23a51aa120013,train
04a17ec55712c,train
332199bd0dd68,train
0387fc0de9b3e,train
1feb7e6d9e159,train
0149d4f28b929,train
0d7e6784e00b0,train
27a7401c390b4,train
2113166c3296b,train
1e427e660b5f0,test
388cce936c3f4,test
279a93026c224,test
17390ecee33bb,test
28de692a64815,val
05e057ec61e57,val
288d7f5c911c3,val
25dcfb57b3897,train
1de92d36598aa,train
34dfc38d26977,train
1d932cb86fd59,train
27d897148c933,train
0818ddebf3188,train
353cd0fd878c3,train
032738266c9da,train
33053f7cbc26f,train
0f82f7453d753,train
2846d1e5b3022,train
0fd4e5f6878e4,test
38081447a9e3f,test
0e805a2a67877,test
00006e748e21f,test
336cf30c058d1,val
2c7da2f32631e,val
06de36fee2595,val
2e125917d6449,train
2b597efb40d8c,train
1a76193dee297,train
0e4ab6c869196,test
102616deb10a0,test
0ab15e57cfadc,test
2b416a9605953,test
33ffdd4bec8fc,val
04721daee19cd,val
348939a5ced53,val
1959bf6e6e7f6,train
17fbbf4411cf5,train
022f73dc39db7,train
2a95207b64a68,train
368a88d3a7c55,train
2b2ca87c66c98,train
086b54f52c5d6,train
2573bda603337,train
1b0c70b5b9861,train
2cd9fb888aac5,train
22e7b19762bc8,train
1511e9a560608,test
311f2eb2e84da,test
13d0a78d60b36,test
1841e2f3162cd,test
2b067125d116f,val
2bf793ac7ede9,val
17c2f683ee873,val
0c9226777b0f8,train
35f00bb831742,train
0d5b507e70f91,train
1f8f44de2c416,train
05ad16b0bda61,train
16c6264e4bc0d,train
065e59945f0aa,train
20e692a0fd6d6,train
2fe8eb3490378,train
382fffeeba0c4,train
010474f38a5d1,train
0bbf57ebb3d48,test
380c085ffd63b,test
19acbbdac9d78,test
29ce8eb6bdc69,test
1c6ae3439ede7,val
07b5a81e6dfd3,val
220e4a33b8edb,val
02d1c04d1dd58,train
1b23ef1c495e0,train
2c89a60d76634,train
0dba4b2b0dce7,train
10050cae2cee6,train
00f0062097f10,train
101debfb7479b,test
28000b796c537,test
0b381c29e0fc1,test
0b3f0bcf9f008,test
0355305620e88,val
0ec5c7c40dde0,val
203449e8e785d,val
3346ebd698d46,train
364549c79177c,train
0e7668ac7342c,train
0f542c5a3ecfd,train
0c1ed4ccc6bcc,train
18d92cfb8ecec,train
1ce8fd763013d,train
2498a75bf3724,train
0aae3b46b7f9f,train
1d6e4dfdb6b35,train
389386f309a36,train
389ddd96fbbd2,test
2c688f86d3ddb,test
1e4fb37a12f5c,test
277176599ac0c,test
281da28e2b17b,val
2978b622bcd92,val
2617f8fac6f42,val
371cbb768de97,train
242d28407ad64,train
207639ab8ed3f,train
1e8f45647ccef,train
176bda007674c,train
2f2e18001475d,train
001dbef3d3071,train
1d7598fb1e67e,train
0e2636f3aaa14,train
22f630b9c024c,train
14f69ded7a9a5,train
1eaea45de2682,test
0de4250fe0118,test
25f6eb59bcda6,test
1d9b719217066,test
11d8d77cbbc99,val
210eb0b0673a7,val
1751775e86f19,val
2da59f8e58f92,train
2719bce9b47e1,train
1915802f4cc88,train
256ae2e390f34,train
30e95e8dde46e,train
029188632a37e,train
07555c477e20a,train
17d5ea661d5a8,test
26ac6e67d2aa5,test
17f782caf5090,test
34fe93d71fc95,test
20cdd38c51de6,val
1039b80531960,val
30851317089ab,val
34aed79f12f18,train
30ac0c123275a,train
2b3272451990e,train
0670a803e8656,train
365d4067bb066,train
2ba9967ea519e,train
2ed685e547ceb,train
02a13ce5c06ba,train
30e53f3111695,train
06da954a7b841,train
358c1a237151a,train
0cc5767486e4e,test
2d55c0dd8eddf,test
29be708134a0c,test
0a6da93ec4f3a,test
25119a8e05c48,val
05081927d3226,val
24aa9d2cc93dc,val
04cd53a71e2cc,train
2ea852804119a,train
3184d03e1f3c1,train
382080470bf47,train
283c8af17633b,train
1e7ad10d1aeef,train
2c5d2bf330775,train
0c4685c8de845,train
016fefad9b6d6,train
21c7f73b08b7b,train
1cc9997a5eead,train
015bd788c5ef3,test
0d40d8c6527a4,test
2f9e71dbfa25b,test
181b07743ec16,test
14736f8b7c2b4,val
28fe3b2f78d20,val
0e38f43d5e427,val
0c00c0e213d40,train
1796361615871,train
1126176f2e3bd,train
2fa61a7f05e6f,train
0b877eadfb39b,train
116ca9aded2a7,train
05d73ed53d1d4,train
3731e6d33e840,test
1cf992274b3c3,test
2a02621286e90,test
1245b2e8e8efe,test
24d4bbf19d1f4,val
006e746949af7,val
2138b6b96eebd,val
3395870e443f9,train
155b74da0b48c,train
00d179231399e,train
0743691ff208a,train
2bcbdbeb45aa7,train
32090fc733fef,train
24065ec29b998,train
00d3b6f84885e,train
31f68c2af39c2,train
2bc42e519dbf8,train
0f8799dd09d34,train
14f20fd5d986d,test
2376d5feb07c7,test
3743b38ffae29,test
00356970831c4,test
2aa3fd9b298e3,val
035e678a4145a,val
312d66d6246e7,val
32146d3952c79,train
1c1717708f493,train
085ba47bfa2cd,train
10402bde90bfa,train
28bc4f7777fce,train
06503714a0baf,train
0d1b73c36f596,train
16d1ab5ee1355,train
3507ea80c4855,train
295196e3a0ac8,train
18d1a40c48a66,train
38a0cfce7e391,test
2821381ccc52c,test
08454da7ee059,test
095c91731c922,test
0aa6f22aed9a3,val
314ba93e87896,val
0c6a14c92f3c8,val
16e03a08a771a,val
07b84759c9200,train
3596240459ab7,train
02e593ee73804,train
02543cb9446bf,train
0b1b7227b608c,train
10b559b9f22ef,train
18d65ae293516,train
0b85f1da48a5d,test
234b2f16a6875,test
117ec4a2e2079,test
36ede6044ce5a,test
2c6e161b3d737,val
2c5f73873cfc9,val
1ea590c77b9d1,val
0d96af091866b,train
29f0041ebf607,train
36d07cd199bd8,train
17bc79679fa56,train
2a40e1843e1a6,train
1534bd9009a1d,train
354dce33e43f8,train
0f35fdc499ed3,train
080059b535120,train
111c22175a358,train
21d77710fb766,train
0b302edd206af,test
0330d0469feb2,test
232cb91b71ad2,test
1661a08f1df40,test
2cc03ca99e3cc,val
1c329d648987e,val
26041c5f210e5,val
0316858620e00,train
30cf638fc293f,train
0d8537fd05db0,train
062f4273d040a,train
2644243ba50fb,train
243bba04e07ef,train
1ea3a78ea6657,train
324c6cab79571,train
365e14e2fee71,train
182244b374f27,train
1263459b07902,train
20740046615ca,test
13bd5f9c83edc,test
377cdfde527d2,test
1f6eab2277124,test
320b7db63a345,val
2c2f779431ca4,val
247b3b7bf355c,val
305e942a43e45,val
0244752bc5021,train
2fc27f36788de,train
102d500e7fa82,train
22e93d2c5d943,train
20cc6ea46552a,train
20954ee352909,train
1d127fc6d02f3,train
13a6107e49dc9,train
1cf75cccdc0cb,test
2643413b48880,test
0919271c87127,test
2b71c8771b5cc,val
036280fa82054,val
2612c43bad680,val
1884dc1d70efa,train
070b970351ecc,train
1e98deaf2c61f,train
19efefa5a3022,train
1fe6608560c06,train
297bb2318d2cc,train
386682a24272f,train
102738bebc42f,train
10d9bf706acc5,train
1bf3b9ac12f5c,train
34b0b6c06292a,train
1701c11099a17,test
010d1c7441bee,test
011dbe93ba811,test
02fce1ee33ccd,test
05213f9366d17,val
1c9de3cac5fd5,val
2534e7c258acb,val
05488b2a47e1e,train
0e814a5a31a2d,train
2cb98279b2453,train
1f351d44eb5d1,train
3123ecf092926,train
2a32f16717a92,train
31d4ebe457ed4,train
1c1d154d0c245,train
328f75f6f3a6b,train
006d802612bab,train
1cf69f217fec2,train
14c22acfd96c1,test
1f0d13f30f176,test
3682e8aa6b4de,test
2399049cc7e68,test
0e56a7325b67d,val
052a2285eb05f,val
1e30efb6f3992,val
099fe22be1419,val
0687060c00320,train
18f05770a3cbc,train
0f25d636848d2,train
1ed7e643e2545,train
1deabbd01ce23,train
05dd33170987b,train
2d8cd28c6234f,train
389120687104c,train
0a80d181a2930,train
1510bd054879c,train
2685eb155400a,test
0f1a4ec84b18a,test
18772864d7f35,val
07d81e1c2efdb,val
115bfc3c48b4d,val
349d37f52a464,train
0a7db2eab46a0,train
231ba796dd0da,train
0bfbb8a521c84,train
1e3d7b2e63a91,train
1f1f146d020da,train
25b52180ba62c,train
0ddc951b63522,train
1b11602fb2df0,train
0152c0a0083d1,train
2629b3fb51dd8,train
3723f43f42675,test
19976ff06ec76,test
1c834c63d44c7,test
07a7663a9e3d7,test
00359502d97f4,val
16dfabba5e0bd,val
0952f55323c56,val
02e41cb94aecf,train
0234262b5c7ad,train
31a30afaf9090,train
1dbb6b25b50df,train
20040657031c3,train
007378ce8d751,train
0cc2a5a3109a5,train
0a4e551a42266,train
1092927cae2f7,train
329f8db0847b1,train
28d1852c4581b,train
2a8cc12becf14,test
13bfe59c3c45a,test
033c56ba111e3,test
08ade69a77ce6,test
0910ceee8de42,val
20a7c35d6f2d3,val
2587c741d7f80,val
0c0579d2ed5ec,val
00dfe3415fad9,train
24a55ac39508d,train
1865f118f9d75,train
0ef99cf88d9a2,train
374f8579af72d,train
213a589b523cc,train
09066e0d5248a,train
2e8b33eaafd96,train
0d80b12d14460,train
0cdef42fd289e,train
2002cbe89da5e,test
37555ebaf0a8e,test
00b026451f27d,val
04dffea1bf332,val
0be7710eb43ab,val
279803328177f,train
0b45b759158f1,train
2e2bf862e2f0d,train
07ce3b32009ea,train
0eddb5c7c8865,train
388d7af56ca61,train
37cd4f01adcf1,train
0f28aa8c87286,train
1db90b5a98738,train
20ff903e8deaf,train
18cb1fa6e1f08,train
0117bf41a8ba4,test
1fbebdb612fd7,test
0449819e74c4d,test
365f316f44657,test
1409a18a0c07e,val
142091ea1bec5,val
2151cb7f5bf27,val
12f05bcb88585,train
3345bc07312e6,train
23f2ee3db68a5,train
0d3b539fba788,train
09e9ea13fe763,train
0bd814421913c,train
2f0368ad1222d,train
0d7dd643a572d,train
1300d8c037c5f,train
2ac1576d9cab9,train
00dbba428e0e0,train
31678d71dacca,test
323bb08026dd9,test
32448aaa9766e,test
253c3f48d041b,test
2c53ae61d084c,val
14a884bd9995c,val
254fc5ae95c7d,val
1e769ea224c6a,val
04235e6b6e44e,train
0f5dc1917ac7a,train
15eb37af1a34a,train
2c54d669a003d,train
11c0de652b9f1,train
2596ec180499a,train
291d6c769081e,train
02b78ff62aea5,train
28e6fb9e06656,train
0700d2e0173d0,train
06a7638570e69,test
25dbbd60af8a5,test
1704359da0b4e,test
0bd7991c6d0ed,val
0efa2f7230fe9,val
159bb65651a66,train
337b2fd60e14e,train
17f8fae3951cf,train
24a65142995f9,train
21b9fc1bf7d4c,train
18f33f80eb118,train
189215f4872f5,train
069a59937d5c0,train
304937ea33aab,train
1350e3d5ab28f,train
017e4dc5e6dcc,train
30e72e4001701,test
21215d4ffccdf,test
3698a3a71c609,test
1f4847cd815a7,test
29b780b287959,val
230ff9dd63b46,val
07357dc5d5739,val
0dd7d371b9f8e,train
08375bca457cc,train
13af8fb84fbd6,train
19c2cfdc65420,train
1c7eef5383ac0,train
138881ee57795,train
1d160b28f2ebc,train
10b9542e5af99,train
24c2a74ec0035,train
046da37347870,train
22202b4d79e4c,train
0d9b1eb4f8a63,test
0794766935924,test
384ccc28a73ed,test
159d994784cee,test
0f003a7918c95,val
215982f92b4fb,val
2c202bd883875,val
17eef3e2537e5,val
349a2d05b21ec,train
0bc2b6f3ea87e,train
0fff390c0881e,train
12c15f0afc420,train
08bdbf9e265a3,train
32cfcd057050c,train
37f0e4f43b380,train
1999af6cd4ed9,train
1c232e9f5ae9c,train
0957ec0390359,train
1b066e8880957,test
3466fe4b03cb5,test
01abcd48895f0,test
0f638115db5ca,test
19fe5361d0c80,val
0af81759ab3be,val
33701209626c2,train
28c842f9442b1,train
277f2b44e1b1d,train
085ada1ea6695,train
19d0c6f6b94f6,train
2e1ef8e7af2fe,train
181eeb0922211,train
04c34efa1a8c3,train
